2*theta/Grads,R(35kV)/Imp/s,Corriente/mA
39.8,896.0,0.6
40.0,948.0,0.6
40.2,2368.0,0.6
40.4,3954.0,0.6
40.5,3492.0,0.6
40.8,1817.0,0.6
41.0,436.0,0.6
41.2,295.0,0.6
41.4,274.0,0.6
41.5,266.0,0.6
41.8,241.0,0.6
42.0,216.0,0.6
42.2,219.0,0.6
42.4,215.0,0.6
42.6,198.0,0.6
42.8,203.0,0.6
43.0,178.0,0.6
43.2,189.0,0.6
43.4,171.0,0.6
43.6,179.0,0.6
43.8,192.0,0.6
44.0,192.0,0.6
44.2,183.0,0.6
44.4,188.0,0.6
44.5,181.0,0.6
44.8,190.0,0.6
45.0,179.0,0.6
45.2,176.0,0.6
45.4,175.0,0.6
45.5,157.0,0.6
45.8,170.0,0.6
46.0,185.0,0.6
46.2,162.0,0.6
46.4,154.0,0.6
46.5,174.0,0.6
46.8,170.0,0.6
47.0,166.0,0.6
47.2,166.0,0.6
47.4,169.0,0.6
47.6,155.0,0.6
47.8,155.0,0.6
48.0,159.0,0.6
32.0,234.0,0.7
32.2,240.0,0.7
32.4,237.0,0.7
32.5,228.0,0.7
32.8,239.0,0.7
33.0,257.0,0.7
33.2,218.0,0.7
33.4,241.0,0.7
33.6,257.0,0.7
33.8,238.0,0.7
34.0,230.0,0.7
34.2,249.0,0.7
34.4,247.0,0.7
34.5,240.0,0.7
34.8,241.0,0.7
35.0,269.0,0.7
35.2,378.0,0.7
35.4,398.0,0.7
35.5,461.0,0.7
35.8,1332.0,0.7
36.0,1059.0,0.7
36.2,823.0,0.7
36.4,334.0,0.7
36.5,291.0,0.7
36.8,304.0,0.7
37.0,298.0,0.7
37.2,282.0,0.7
37.4,295.0,0.7
37.5,279.0,0.7
37.8,271.0,0.7
38.0,253.0,0.7
38.2,265.0,0.7
38.4,263.0,0.7
38.6,267.0,0.7
38.8,243.0,0.7
39.0,267.0,0.7
39.2,279.0,0.7
39.4,305.0,0.7
39.5,345.0,0.7
39.8,1013.0,0.7
40.0,1097.0,0.7
40.2,2597.0,0.7
40.4,4722.0,0.7
40.5,4063.0,0.7
40.8,2098.0,0.7
41.0,517.0,0.7
41.2,352.0,0.7
41.4,317.0,0.7
41.5,288.0,0.7
41.8,259.0,0.7
42.0,246.0,0.7
42.2,248.0,0.7
42.4,262.0,0.7
42.6,248.0,0.7
42.8,206.0,0.7
43.0,214.0,0.7
43.2,218.0,0.7
43.4,225.0,0.7
43.6,199.0,0.7
43.8,211.0,0.7
44.0,210.0,0.7
44.2,222.0,0.7
44.4,203.0,0.7
44.5,198.0,0.7
44.8,192.0,0.7
45.0,186.0,0.7
45.2,209.0,0.7
45.4,202.0,0.7
45.5,187.0,0.7
45.8,191.0,0.7
46.0,224.0,0.7
46.2,204.0,0.7
46.4,190.0,0.7
46.5,181.0,0.7
46.8,200.0,0.7
47.0,201.0,0.7
47.2,181.0,0.7
47.4,180.0,0.7
47.6,194.0,0.7
47.8,179.0,0.7
48.0,202.0,0.7
32.0,274.0,0.8
32.2,253.0,0.8
32.4,265.0,0.8
32.5,276.0,0.8
32.8,272.0,0.8
33.0,279.0,0.8
33.2,283.0,0.8
33.4,280.0,0.8
33.6,277.0,0.8
33.8,280.0,0.8
34.0,278.0,0.8
34.2,274.0,0.8
34.4,276.0,0.8
34.5,284.0,0.8
34.8,287.0,0.8
35.0,278.0,0.8
35.2,443.0,0.8
35.4,466.0,0.8
35.5,519.0,0.8
35.8,1417.0,0.8
36.0,1215.0,0.8
36.2,938.0,0.8
36.4,400.0,0.8
36.5,358.0,0.8
36.8,358.0,0.8
37.0,344.0,0.8
37.2,327.0,0.8
37.4,311.0,0.8
37.5,311.0,0.8
37.8,301.0,0.8
38.0,328.0,0.8
38.2,303.0,0.8
38.4,298.0,0.8
38.6,283.0,0.8
38.8,283.0,0.8
39.0,270.0,0.8
39.2,313.0,0.8
39.4,335.0,0.8
39.5,398.0,0.8
39.8,1180.0,0.8
40.0,1208.0,0.8
40.2,2851.0,0.8
40.4,5247.0,0.8
40.5,4479.0,0.8
40.8,2419.0,0.8
41.0,623.0,0.8
41.2,409.0,0.8
41.4,373.0,0.8
41.5,362.0,0.8
41.8,314.0,0.8
42.0,298.0,0.8
42.2,273.0,0.8
42.4,271.0,0.8
42.6,264.0,0.8
42.8,288.0,0.8
43.0,272.0,0.8
43.2,236.0,0.8
43.4,229.0,0.8
43.6,256.0,0.8
43.8,258.0,0.8
44.0,264.0,0.8
44.2,246.0,0.8
44.4,243.0,0.8
44.5,235.0,0.8
44.8,233.0,0.8
45.0,229.0,0.8
45.2,242.0,0.8
45.4,238.0,0.8
45.5,236.0,0.8
45.8,239.0,0.8
46.0,217.0,0.8
46.2,204.0,0.8
46.4,225.0,0.8
46.5,219.0,0.8
46.8,206.0,0.8
47.0,202.0,0.8
47.2,211.0,0.8
47.4,224.0,0.8
47.6,213.0,0.8
47.8,207.0,0.8
48.0,222.0,0.8
32.0,289.0,0.9
32.2,294.0,0.9
32.4,308.0,0.9
32.5,278.0,0.9
32.8,310.0,0.9
33.0,317.0,0.9
33.2,293.0,0.9
33.4,299.0,0.9
33.6,323.0,0.9
33.8,327.0,0.9
34.0,302.0,0.9
34.2,313.0,0.9
34.4,314.0,0.9
34.5,308.0,0.9
34.8,317.0,0.9
35.0,334.0,0.9
35.2,503.0,0.9
35.4,515.0,0.9
35.5,574.0,0.9
35.8,1584.0,0.9
36.0,1375.0,0.9
36.2,1038.0,0.9
36.4,470.0,0.9
36.5,384.0,0.9
36.8,375.0,0.9
37.0,363.0,0.9
37.2,335.0,0.9
37.4,323.0,0.9
37.5,363.0,0.9
37.8,366.0,0.9
38.0,312.0,0.9
38.2,345.0,0.9
38.4,343.0,0.9
38.6,350.0,0.9
38.8,327.0,0.9
39.0,337.0,0.9
39.2,357.0,0.9
39.4,386.0,0.9
39.5,469.0,0.9
39.8,1290.0,0.9
40.0,1340.0,0.9
40.2,3123.0,0.9
40.4,6226.0,0.9
40.5,5003.0,0.9
40.8,2669.0,0.9
41.0,688.0,0.9
41.2,446.0,0.9
41.4,414.0,0.9
41.5,370.0,0.9
41.8,322.0,0.9
42.0,317.0,0.9
42.2,301.0,0.9
42.4,319.0,0.9
42.6,294.0,0.9
42.8,289.0,0.9
43.0,296.0,0.9
43.2,284.0,0.9
43.4,270.0,0.9
43.6,271.0,0.9
43.8,262.0,0.9
44.0,280.0,0.9
44.2,280.0,0.9
44.4,266.0,0.9
44.5,261.0,0.9
44.8,265.0,0.9
45.0,257.0,0.9
45.2,263.0,0.9
45.4,257.0,0.9
45.5,243.0,0.9
45.8,239.0,0.9
46.0,246.0,0.9
46.2,234.0,0.9
46.4,229.0,0.9
46.5,245.0,0.9
46.8,256.0,0.9
47.0,244.0,0.9
47.2,241.0,0.9
47.4,244.0,0.9
47.6,237.0,0.9
47.8,216.0,0.9
48.0,234.0,0.9
32.0,354.0,1.0
32.2,327.0,1.0
32.4,331.0,1.0
32.5,322.0,1.0
32.8,355.0,1.0
33.0,349.0,1.0
33.2,356.0,1.0
33.4,370.0,1.0
33.6,345.0,1.0
33.8,362.0,1.0
34.0,345.0,1.0
34.2,359.0,1.0
34.4,327.0,1.0
34.5,336.0,1.0
34.8,360.0,1.0
35.0,375.0,1.0
35.2,524.0,1.0
35.4,556.0,1.0
35.5,598.0,1.0
35.8,1730.0,1.0
36.0,1535.0,1.0
36.2,1159.0,1.0
36.4,504.0,1.0
36.5,435.0,1.0
36.8,379.0,1.0
37.0,395.0,1.0
37.2,395.0,1.0
37.4,388.0,1.0
37.5,415.0,1.0
37.8,377.0,1.0
38.0,401.0,1.0
38.2,366.0,1.0
38.4,360.0,1.0
38.6,362.0,1.0
38.8,349.0,1.0
39.0,351.0,1.0
39.2,371.0,1.0
39.4,419.0,1.0
39.5,503.0,1.0
39.8,1423.0,1.0
40.0,1481.0,1.0
40.2,3291.0,1.0
40.4,6745.0,1.0
40.5,5645.0,1.0
40.8,2943.0,1.0
41.0,774.0,1.0
41.2,503.0,1.0
41.4,421.0,1.0
41.5,462.0,1.0
41.8,387.0,1.0
42.0,364.0,1.0
42.2,335.0,1.0
42.4,353.0,1.0
42.6,339.0,1.0
42.8,321.0,1.0
43.0,315.0,1.0
43.2,328.0,1.0
43.4,321.0,1.0
43.6,320.0,1.0
43.8,289.0,1.0
44.0,297.0,1.0
44.2,299.0,1.0
44.4,294.0,1.0
44.5,297.0,1.0
44.8,302.0,1.0
45.0,299.0,1.0
45.2,273.0,1.0
45.4,263.0,1.0
45.5,288.0,1.0
45.8,298.0,1.0
46.0,263.0,1.0
46.2,266.0,1.0
46.4,241.0,1.0
46.5,264.0,1.0
46.8,261.0,1.0
47.0,289.0,1.0
47.2,260.0,1.0
47.4,269.0,1.0
47.6,258.0,1.0
47.8,280.0,1.0
48.0,248.0,1.0
